Arquivo,Qtd Músculo,Qtd Tec. Conjuntivo,Qtd Vasos,Observações,% Músculo,% TC,% Vasos,Média % Músculo,Média % TC
Rato1FDControle1,43,11,0,,"79,630","20,370","0,000","66,2037037","33,56481481"
Rato1FDControle2,28,26,0,,"51,852","48,148","0,000",,
Rato1FDControle3,37,17,0,,"68,519","31,481","0,000",,
Rato1FDControle4,38,16,0,,"70,370","29,630","0,000",,
Rato1FDControle5,39,15,0,,"72,222","27,778","0,000",,
Rato1FDControle6,32,22,0,,"59,259","40,741","0,000",,
Rato1FDControle7,31,23,0,,"57,407","42,593","0,000",,
Rato1FDControle8,32,22,0,,"59,259","40,741","0,000",,
Rato1FDControle9,35,18,1,,"64,815","33,333","1,852",,
Rato1FDControle10,39,15,0,,"72,222","27,778","0,000",,
Rato1FDControle11,35,19,0,,"64,815","35,185","0,000",,
Rato1FDControle12,38,15,1,,"70,370","27,778","1,852",,
Rato1FDControle13,40,14,0,,"74,074","25,926","0,000",,
Rato1FDControle14,33,21,0,,"61,111","38,889","0,000",,
Rato1FDControle15,39,15,0,,"72,222","27,778","0,000",,
Rato1FDControle16,33,21,0,,"61,111","38,889","0,000",,
Rato1femeaEsquerda1,20,34,0,,"37,037","62,963","0,000","61,45833333","38,54166667"
Rato1femeaEsquerda2,19,35,0,imagem ruim,"35,185","64,815","0,000",,
Rato1femeaEsquerda3,30,24,0,,"55,556","44,444","0,000",,
Rato1femeaEsquerda4,24,30,0,,"44,444","55,556","0,000",,
Rato1femeaEsquerda5,27,27,0,,"50,000","50,000","0,000",,
Rato1femeaEsquerda6,41,13,0,,"75,926","24,074","0,000",,
Rato1femeaEsquerda7,35,19,0,,"64,815","35,185","0,000",,
Rato1femeaEsquerda8,31,23,0,,"57,407","42,593","0,000",,
Rato1femeaEsquerda9,43,11,0,,"79,630","20,370","0,000",,
Rato1femeaEsquerda10,27,27,0,,"50,000","50,000","0,000",,
Rato1femeaEsquerda11,40,14,0,,"74,074","25,926","0,000",,
Rato1femeaEsquerda12,33,21,0,,"61,111","38,889","0,000",,
Rato1femeaEsquerda13,41,13,0,,"75,926","24,074","0,000",,
Rato1femeaEsquerda14,45,9,0,,"83,333","16,667","0,000",,
Rato1femeaEsquerda15,38,16,0,,"70,370","29,630","0,000",,
Rato1femeaEsquerda16,37,17,0,,"68,519","31,481","0,000",,
Rato2controle1,43,11,0,,"79,630","20,370","0,000","68,28703704","31,71296296"
Rato2controle2,32,22,0,,"59,259","40,741","0,000",,
Rato2controle3,37,17,0,,"68,519","31,481","0,000",,
